"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"12:00:00 PM",20.99
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"02:00:00 PM",20.8
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"04:00:00 PM",20.69
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"06:00:00 PM",20.93
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"08:00:00 PM",20.92
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"10:00:00 PM",20.67
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"12:00:00 AM",20.26
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"02:00:00 AM",20.53
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"04:00:00 AM",20.2
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"06:00:00 AM",20.11
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"08:00:00 AM",20.26
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"10:00:00 AM",20.23
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"12:00:00 PM",19.16
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"02:00:00 PM",20.48
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"04:00:00 PM",20.48
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"06:00:00 PM",20.59
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"08:00:00 PM",20.73
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"10:00:00 PM",20.52
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"12:00:00 AM",20.59
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"02:00:00 AM",20.38
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"04:00:00 AM",20.36
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"06:00:00 AM",20.36
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"08:00:00 AM",20.45
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"10:00:00 AM",20.38
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"12:00:00 PM",20.5
