"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"04:00:00 PM",15.27
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"06:00:00 PM",14.73
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"08:00:00 PM",14.7
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"10:00:00 PM",15.01
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"12:00:00 AM",15.85
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"02:00:00 AM",15.33
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"04:00:00 AM",14.99
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"06:00:00 AM",15.14
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"08:00:00 AM",14.68
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"10:00:00 AM",14.34
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"12:00:00 PM",12.95
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"02:00:00 PM",12.77
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"04:00:00 PM",12.73
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"06:00:00 PM",12.89
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"08:00:00 PM",13.37
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"10:00:00 PM",14.43
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"12:00:00 AM",13.88
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"02:00:00 AM",14.22
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"04:00:00 AM",13.03
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"06:00:00 AM",13.28
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"08:00:00 AM",13.73
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"10:00:00 AM",13.6
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"12:00:00 PM",14.35
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"02:00:00 PM",14.21
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"04:00:00 PM",14.12
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,15,2022-08-15,"06:00:00 PM",14.22
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"08:00:00 PM",14.41
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,16,2022-08-16,"10:00:00 PM",14.56
